Funkcionalnosti,,,,,,,,,,,,,,,,,,,,,,,,,
Konkretne funkcionalnosti za prva 3 zaključena modula. Kolone Frontend/Backend/Baza/Testirano ostaju za praćenje implementacije.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"ID",Modul,Funkcionalnost,Opis,Prioritet,Status,Frontend,Backend,Baza,Testirano,Zavisi od,Napomena,,,,,,,,,,,,,,
F-043,Robno knjigovodstvo,Negativan lager,Sistem može blokirati negativan lager ili ga dozvoliti uz upozorenje.,Vrlo visok,Zaključeno,Ne,Ne,Da,Ne,F-042,Podešavanje po firmi i opciono po magacinu.,,,,,,,,,,,,,,
F-044,Robno knjigovodstvo,Prosječna ponderisana cijena,Razduženje robe se radi po prosječnoj ponderisanoj nabavnoj cijeni.,Vrlo visok,Zaključeno,Ne,Ne,Da,Ne,F-042,Cijena po artiklu i magacinu.,,,,,,,,,,,,,,
F-045,Robno knjigovodstvo,Kalkulacije,Kalkulacija se pravi direktno iz računa dobavljača i zadužuje magacin.,Vrlo visok,Zaključeno,Ne,Ne,Da,Ne,"F-041,F-042",Kalkulacija kreira nalog za knjiženje.,,,,,,,,,,,,,,
F-046,Robno knjigovodstvo,Zavisni troškovi,"Kalkulacija podržava transport, špediciju, carinu i druge zavisne troškove.",Visok,Zaključeno,Ne,Ne,Da,Ne,F-045,Default raspored po vrijednosti robe uz ručnu korekciju.,,,,,,,,,,,,,,
F-047,Robno knjigovodstvo,Rabat dobavljača,Stavka kalkulacije podržava rabat procenat i iznos rabata.,Visok,Zaključeno,Ne,Ne,Da,Ne,F-045,Računa neto nabavnu cijenu.,,,,,,,,,,,,,,
F-048,Robno knjigovodstvo,Marža i prodajna cijena,"Korisnik može unijeti maržu ili prodajnu cijenu, a sistem računa drugo.",Visok,Zaključeno,Ne,Ne,Da,Ne,F-045,Podržava maloprodaju i veleprodaju.,,,,,,,,,,,,,,
F-049,Robno knjigovodstvo,Više PDV stopa,Jedna kalkulacija može imati različite PDV stope po stavkama.,Vrlo visok,Zaključeno,Ne,Ne,Da,Ne,F-045,PDV stopa je na stavci.,,,,,,,,,,,,,,
F-050,Robno knjigovodstvo,Maloprodaja i veleprodaja,Kalkulacija podržava maloprodajne i veleprodajne vrijednosti.,Vrlo visok,Zaključeno,Ne,Ne,Da,Ne,F-045,Maloprodaja prati RUC i ukalkulisani PDV.,,,,,,,,,,,,,,
F-051,Robno knjigovodstvo,Uvozna kalkulacija,Poseban tip kalkulacije sa carinskom deklaracijom i carinskim PDV-om.,Vrlo visok,Zaključeno,Ne,Ne,Da,Ne,F-045,Ulazna PDV stopa stavki je 0%.,,,,,,,,,,,,,,
F-052,Robno knjigovodstvo,Povrat dobavljaču,Poseban dokument koji smanjuje lager i obavezu prema dobavljaču.,Vrlo visok,Zaključeno,Ne,Ne,Da,Ne,"F-042,F-045",Može biti slobodan ili povezan sa kalkulacijom.,,,,,,,,,,,,,,
F-053,Robno knjigovodstvo,Razduženje robe kroz fakturu,Izlazna faktura sa robom automatski skida robu sa lagera.,Vrlo visok,Zaključeno,Ne,Ne,Da,Ne,"F-042,F-044",Usluge ne razdužuju lager.,,,,,,,,,,,,,,
F-054,Robno knjigovodstvo,Prenos robe,Prenos smanjuje izvorni i povećava odredišni magacin.,Visok,Zaključeno,Ne,Ne,Da,Ne,"F-041,F-042",Prenos pravi nalog za knjiženje.,,,,,,,,,,,,,,
F-055,Robno knjigovodstvo,Popis robe,Popis po magacinu poredi knjigovodstveno i stvarno stanje.,Visok,Zaključeno,Ne,Ne,Da,Ne,F-042,Može napraviti višak i manjak.,,,,,,,,,,,,,,
F-056,Robno knjigovodstvo,Višak robe,Višak iz popisa povećava lager i kreira nalog.,Visok,Zaključeno,Ne,Ne,Da,Ne,F-055,Vrijednost po prosječnoj ili ručnoj cijeni.,,,,,,,,,,,,,,
F-057,Robno knjigovodstvo,Manjak robe,Manjak iz popisa smanjuje lager i kreira nalog.,Visok,Zaključeno,Ne,Ne,Da,Ne,F-055,U maloprodaji koriguje RUC i ukalkulisani PDV.,,,,,,,,,,,,,,
F-058,Robno knjigovodstvo,Otpis robe,Otpis smanjuje lager po prosječnoj nabavnoj cijeni i kreira nalog.,Visok,Zaključeno,Ne,Ne,Da,Ne,"F-042,F-044",Ne smije otpisati više od stanja ako je minus blokiran.,,,,,,,,,,,,,,
F-059,Robno knjigovodstvo,Nivelacija cijena,"Nivelacija mijenja maloprodajnu cijenu, RUC i ukalkulisani PDV bez promjene količine.",Visok,Zaključeno,Ne,Ne,Da,Ne,"F-042,F-050",Pravi nalog za knjiženje.,,,,,,,,,,,,,,
F-060,Robno knjigovodstvo,Kartica artikla i lager lista,"Pregledi ulaza, izlaza, salda i vrijednosti zaliha po magacinu.",Vrlo visok,Zaključeno,Ne,Ne,Da,Ne,F-042,Osnovni izvještaji robnog.,,,,,,,,,,,,,,
F-061,Robno knjigovodstvo,Automatsko knjiženje robnih dokumenata,Svi proknjiženi robni dokumenti kreiraju ili imaju vezu sa nalogom.,Vrlo visok,Zaključeno,Ne,Ne,Da,Ne,"F-045,F-052,F-053,F-054,F-055,F-058,F-059",Veza sa modulom nalozi.,,,,,,,,,,,,,,
F-062,Podešavanja / PDV,PDV stope,Agencija definiše aktivne PDV stope koje KIF/KUF i računi kasnije koriste dinamički.,Vrlo visok,Implementirano,Da,Da,Da,Djelimicno,06_KIF_KUF,Implementiran šifarnik na /agencija/podesavanja/pdv-stope.,,,,,,,,,,,,,,
F-063,Računi / KUF,KUF knjiga po mjesecu,"Korisnik otvara KIF/KUF knjigu za mjesec i dinamičku vrstu knjige, pa unutar nje unosi račune sa PDV razradom. KIF/KUF unos koristi šemu kontiranja za obaveznost ili default konta iznosa.",Vrlo visok,Implementirano djelimicno,Da,Da,Da,Djelimicno,F-062,"KIF/KUF imaju mjesečne knjige, vrste, unos računa, PDV razradu, MAPR/SEP import, seme kontiranja, automatsko knjiženje, edit/delete neproknjiženih, print i Excel export. Ostaju kontrole/XML/lock/testovi.",,,,,,,,,,,,,,
F-064,Računi / KIF-KUF,Dinamične vrste KIF/KUF knjiga,"Korisnik može otvoriti različite vrste KIF/KUF knjiga, npr. virmani, kartica, gotovina, avansi.",Vrlo visok,Implementirano,Da,Da,Da,Djelimicno,F-063,Vrste se čuvaju u bazi i koriste za otvaranje knjige i izbor šeme.,,,,,,,,,,,,,,
F-065,Računi / KIF-KUF,Šema kontiranja po poljima,"Za svako smisleno polje iznosa bira se D/P, izvor konta i konto; podržan konto iz unosa računa.",Vrlo visok,Implementirano,Da,Da,Da,Djelimicno,F-063,"Šema čuva pravila za ukupno, osnovice, PDV po stopama i oslobođeni promet. Pravila su odvojena po vrsti knjige; UI remount-uje redove po vrsti da se KIF/KUF šeme ne prelivaju. Podešavanja se mogu uvesti iz druge firme iste agencije.",,,,,,,,,,,,,,
F-066,Računi / KUF,MAPR unos i import linkova,KUF i KIF mogu učitati fiskalne račune iz MAPR linka; import obrađuje više linkova u grupama.,Vrlo visok,Implementirano,Da,Da,Da,Djelimicno,F-063,"KUF koristi dobavljača, KIF kupca; broj računa se normalizuje na čisti dio npr. 1/2026.",,,,,,,,,,,,,,
F-067,Računi / KIF,SEP Excel import za KIF,SEP Excel se parsira u MAPR linkove i koristi za import izlaznih računa u KIF.,Vrlo visok,Implementirano,Da,Da,Da,Djelimicno,F-066,Provjereno sa testnim SEP fajlom; treba dodatna validacija edge case-ova.,,,,,,,,,,,,,,
F-068,Računi / KIF-KUF,Automatsko knjiženje knjige,"Cijeli KIF/KUF se knjiži u jedan nalog po šemi, a naknadno dodati računi se dopunjavaju na isti nalog.",Vrlo visok,Implementirano,Da,Da,Da,Djelimicno,F-065,Status knjige prikazuje otvorena/djelimično knjižena/knjižena i ima link na nalog.,,,,,,,,,,,,,,
F-069,Računi / KIF-KUF,Štampa KIF/KUF knjige,"Pregled KIF/KUF ima print varijantu bez menija, po periodu datuma knjige.",Visok,Implementirano,Da,Da,Da,Djelimicno,F-063,Format liči na službene obrasce; treba još fino podešavanje kolona za veće brojeve.,,,,,,,,,,,,,,
F-070,Računi / KIF-KUF,Izmjena i brisanje računa,Neproknjiženi računi u KIF/KUF se mogu mijenjati ili brisati.,Visok,Implementirano djelimicno,Da,Da,Da,Djelimicno,F-063,Za proknjižene račune ostaje definisati stroga pravila korekcije/storna.,,,,,,,,,,,,,,
F-071,Računi / KIF-KUF,Excel export KIF/KUF pregleda,"KIF/KUF pregledi se izvoze u XLSX po aktivnoj firmi, poslovnoj godini i filteru datuma knjige.",Visok,Implementirano,Da,Da,Da,Djelimicno,F-063,"Export uključuje partnera, tip prometa, iznose, status knjiženja i PDV razradu; backend provjerava export pravo.",,,,,,,,,,,,,,
F-072,PDV,PDV periodi po mjesecu,"PDV periodi se vode za aktivnu firmu i poslovnu godinu; na PDV ekranima bira se samo mjesec.",Vrlo visok,Implementirano,Da,Da,Da,Djelimicno,F-063,"Period KIF/KUF računa određuje datum knjige: kif_date odnosno kuf_date.",,,,,,,,,,,,,,
F-073,PDV,Ulazni i izlazni PDV evidencije,"Ulazni PDV prikazuje KUF račune, a izlazni PDV KIF račune koji ulaze u izabrani mjesec.",Vrlo visok,Implementirano,Da,Da,Da,Djelimicno,"F-063,F-072","Evidencije su dokazni pregled iza prijave i linkuju na KIF/KUF knjige.",,,,,,,,,,,,,,
F-074,PDV,PDV prijava po IRMS obrascu,"Prijava se automatski puni iz KIF/KUF, ima redove obrasca i automatske preračune PDV-a i zbirnih redova.",Vrlo visok,Implementirano djelimicno,Da,Da,Da,Djelimicno,"F-072,F-073","Dodat nacrt prijave, osvježavanje iz KIF/KUF, portal layout, XML export u PR_PDV_2025 formatu i osnovno zbirno knjiženje; brisanje PDV naloga vraća prijavu u nacrt. Ostaje zaključavanje i ručni QA XML upload-a.",,,,,,,,,,,,,,
F-075,PDV,Podešavanja knjiženja PDV prijave,"Firma za aktivnu godinu bira vrstu naloga i šemu D/P + konto za zatvaranje kartica PDV-a.",Vrlo visok,Implementirano,Da,Da,Da,Djelimicno,F-074,"Pravila se generišu po aktivnim PDV stopama iz baze za ulazni/izlazni PDV, plus carinski, paušalni, obaveza i kredit. Dropdown konta prikazuje cijeli spojeni kontni plan; izbor globalnog konta se pri čuvanju veže kao firmi konto. Kontrole porede PDV evidenciju sa glavnom knjigom.",,,,,,,,,,,,,,
F-076,Izvodi,Import sesija PDF/HTML izvoda,"Korisnik učitava PDF/HTML/XML izvod za aktivnu firmu/godinu i bankovni račun; sistem čuva fajl, raw text i status importa.",Vrlo visok,Djelimično implementirano,Ne,Ne,Da,Ne,"M-005,F-017","Postoji upload/paste tekst i čuvanje izvoda; podržani su NLB XML, Erste HTM i CKB PDF, a puna import sesija ostaje za kasnije.",,,,,,,,,,,,,,
F-077,Izvodi,Parsiranje izvoda,"Parser čita zaglavlje i stavke, a arhitektura dozvoljava parsere po bankama.",Vrlo visok,Djelimično implementirano,Ne,Ne,Da,Ne,F-076,"Implementirani NLB XML, Erste HTM i CKB PDF parseri; CKB ukupni priliv/odliv uzima iz zaglavlja PDF izvoda; fallback tekstualni format ostaje aktivan.",,,,,,,,,,,,,,
F-078,Izvodi,Preview parsiranja,"Korisnik vidi zaglavlje, stavke, greške, kontrolu početnog/krajnjeg stanja i može ispraviti podatke prije povezivanja.",Vrlo visok,Djelimično implementirano,Ne,Ne,Da,Ne,F-077,"Postoji tab Stavke izvoda i kontrola stanja; korekcije iznosa/datuma ostaju za doradu.",,,,,,,,,,,,,,
F-079,Izvodi,Prepoznavanje komitenta po žiro računu,"Komitent se primarno prepoznaje po normalizovanom žiro računu; naziv iz banke je samo pomoćni signal.",Vrlo visok,Djelimično implementirano,Ne,Ne,Da,Ne,F-078,"Automatski predlog po partner_bank_accounts i komitent_ziro_racuni postoji; ručno povezivanje partnera na stavci izvoda pamti račun kao agencijski zajednički račun kad je moguće.",,,,,,,,,,,,,,
F-080,Izvodi,Povezivanje sa KIF/KUF fakturama,"Stavka izvoda može zatvoriti jednu ili više KIF/KUF faktura; jedna faktura može biti plaćena kroz više uplata.",Vrlo visok,Specifikacija spremna,Ne,Ne,Da,Ne,"F-063,F-079","Potrebne alokacije i statusi plaćanja UNPAID/PARTIALLY_PAID/PAID/OVERPAID.",,,,,,,,,,,,,,
F-081,Izvodi,Ručno kontiranje stavke,"Stavke koje nisu kupci/dobavljači mogu se ručno kontirati kroz konto duguje, konto potražuje, partner po potrebi i opis.",Vrlo visok,Djelimično implementirano,Ne,Ne,Da,Ne,F-078,"Tab Predlog naloga omogućava izbor partnera i duguje/potražuje konta; izbor konta ide preko šifre i automatskog firma_konta linka; interni prenosi između sopstvenih računa firme se prepoznaju po kontra računu.",,,,,,,,,,,,,,
F-082,Izvodi,Pravila knjiženja i učenje,"Korisnik može ručno riješenu stavku zapamtiti kao pravilo knjiženja; pravila imaju match uslove, priority, auto_apply i requires_review.",Visok,Djelimično implementirano,Ne,Ne,Da,Ne,F-081,"Pravila podržavaju smjer, žiro račun, opis, šifru plaćanja, poziv na broj, prioritet, zajednički scope agencije i firm-specific override; account_code omogućava primjenu kroz firme.",,,,,,,,,,,,,,
F-083,Izvodi,Confidence score i grupna potvrda,"Sistem boduje predloge po računu, fakturi, iznosu i nazivu; grupno se mogu potvrditi samo sigurne READY stavke.",Visok,Specifikacija spremna,Ne,Ne,Da,Ne,"F-079,F-080,F-082","Predlog: >=90 za grupnu potvrdu.",,,,,,,,,,,,,,
F-084,Izvodi,Preview i knjiženje naloga,"Kada su sve stavke READY ili IGNORED, sistem prikazuje preview naloga i knjiži jedan izvod u jedan nalog.",Vrlo visok,Djelimično implementirano,Ne,Ne,Da,Ne,"F-078,F-080,F-081","Postoji preview i knjiženje READY izvoda u poseban proknjižen IZV nalog; banka se knjiži zbirno po ukupnom prilivu/odlivu, pojedinačne stavke idu samo na kontra konta; alokacije KIF/KUF nisu još uključene.",,,,,,,,,,,,,,
F-085,Izvodi,Vraćanje izvoda u nacrt,"Proknjižen izvod se ne mijenja direktno; vraćanje u nacrt poništava ili označava povezani nalog i efekat zatvaranja faktura.",Visok,Specifikacija spremna,Ne,Ne,Da,Ne,F-084,"Provjeriti prava, zaključanu godinu i upisati audit log.",,,,,,,,,,,,,,
