Pravila poslovne logike,,,,,,,,,,,,,,,,,,,,,,,,,
Zaključena poslovna i tehnička pravila za prva 3 modula. Svako pravilo treba povezivati sa funkcionalnostima i testovima.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
ID pravila,Modul,Naziv pravila,Opis pravila,Prioritet,Status,Implementirano u,Testirano,Povezane funkcije,Napomena,,,,,,,,,,,,,,,,
R-065,Robno knjigovodstvo,Zavisni troškovi,"Kalkulacija može imati transport, špediciju, carinu i druge zavisne troškove.",Visok,Zaključeno,Backend/Baza,Ne,F-039:F-061,,,,,,,,,,,,,,,,,
R-066,Robno knjigovodstvo,Raspored zavisnih troškova,Zavisni troškovi se default raspoređuju po vrijednosti robe.,Visok,Zaključeno,Backend/Baza,Ne,F-039:F-061,,,,,,,,,,,,,,,,,
R-067,Robno knjigovodstvo,Ručna korekcija troškova,Korisnik može ručno korigovati raspored zavisnih troškova.,Visok,Zaključeno,Backend/Baza,Ne,F-039:F-061,,,,,,,,,,,,,,,,,
R-068,Robno knjigovodstvo,Rabat,Kalkulacija podržava rabat procenat i iznos po stavci.,Visok,Zaključeno,Backend/Baza,Ne,F-039:F-061,,,,,,,,,,,,,,,,,
R-069,Robno knjigovodstvo,Marža ili cijena,"Korisnik može unijeti maržu ili prodajnu cijenu, sistem računa drugo.",Visok,Zaključeno,Backend/Baza,Ne,F-039:F-061,,,,,,,,,,,,,,,,,
R-070,Robno knjigovodstvo,Više PDV stopa,Kalkulacija podržava više PDV stopa po stavkama.,Visok,Zaključeno,Backend/UI,Ne,F-039:F-061,,,,,,,,,,,,,,,,,
R-071,Robno knjigovodstvo,Maloprodaja i veleprodaja,Kalkulacija podržava maloprodajni i veleprodajni režim.,Visok,Zaključeno,Backend/UI,Ne,F-039:F-061,,,,,,,,,,,,,,,,,
R-072,Robno knjigovodstvo,Lager po nabavnoj vrijednosti,Računovodstvena vrijednost lagera vodi se po nabavnoj vrijednosti.,Visok,Zaključeno,Backend/UI,Ne,F-039:F-061,,,,,,,,,,,,,,,,,
R-073,Robno knjigovodstvo,Maloprodajne vrijednosti,"Maloprodaja dodatno prati maloprodajnu vrijednost, RUC i ukalkulisani PDV.",Visok,Zaključeno,Backend/Baza,Ne,F-039:F-061,,,,,,,,,,,,,,,,,
R-074,Robno knjigovodstvo,Uvozna kalkulacija,Uvozna kalkulacija je poseban tip kalkulacije.,Visok,Zaključeno,Backend/Baza,Ne,F-039:F-061,,,,,,,,,,,,,,,,,
R-075,Robno knjigovodstvo,Ulazni PDV 0 kod uvoza,Kod uvoza sve stavke na ulazu imaju PDV stopu 0%.,Vrlo visok,Zaključeno,Backend/Baza,Ne,F-039:F-061,,,,,,,,,,,,,,,,,
R-076,Robno knjigovodstvo,Carinski PDV,Kod uvoza ulazni PDV dolazi iz carinske deklaracije.,Vrlo visok,Zaključeno,Backend/Baza,Ne,F-039:F-061,,,,,,,,,,,,,,,,,
R-077,Robno knjigovodstvo,Ukalkulisani PDV kod uvoza,Kod uvoza ukalkulisani PDV se računa normalno po prodajnoj stopi artikla.,Visok,Zaključeno,Backend/Baza,Ne,F-039:F-061,,,,,,,,,,,,,,,,,
R-078,Robno knjigovodstvo,Povrat dobavljaču poseban dokument,"Povrat dobavljaču nije kalkulacija sa minus količinama, već poseban dokument.",Vrlo visok,Zaključeno,Backend/Baza,Ne,F-039:F-061,,,,,,,,,,,,,,,,,
R-079,Robno knjigovodstvo,Povrat smanjuje lager,Proknjižen povrat dobavljaču smanjuje lager.,Vrlo visok,Zaključeno,Backend/Baza,Ne,F-039:F-061,,,,,,,,,,,,,,,,,
R-080,Robno knjigovodstvo,Povrat smanjuje obavezu,Povrat dobavljaču smanjuje obavezu prema dobavljaču.,Visok,Zaključeno,Backend/Baza,Ne,F-039:F-061,,,,,,,,,,,,,,,,,
R-081,Robno knjigovodstvo,Povrat može biti slobodan,Povrat dobavljaču može biti samostalan ili opciono povezan sa kalkulacijom.,Visok,Zaključeno,Backend/Baza,Ne,F-039:F-061,,,,,,,,,,,,,,,,,
R-082,Robno knjigovodstvo,Faktura razdužuje robu,Izlazna faktura sa robom razdužuje robu iz magacina.,Vrlo visok,Zaključeno,Backend/Baza,Ne,F-039:F-061,,,,,,,,,,,,,,,,,
R-083,Robno knjigovodstvo,Usluge na fakturi,Usluge na fakturi ne razdužuju lager.,Visok,Zaključeno,Backend/Baza,Ne,F-039:F-061,,,,,,,,,,,,,,,,,
R-084,Robno knjigovodstvo,Prosječna ponderisana cijena,Roba se razdužuje po prosječnoj ponderisanoj nabavnoj cijeni.,Vrlo visok,Zaključeno,Backend/Baza,Ne,F-039:F-061,,,,,,,,,,,,,,,,,
R-085,Robno knjigovodstvo,Blokiranje negativnog lagera,Sistem može blokirati dokument ako nema dovoljno robe na stanju.,Vrlo visok,Zaključeno,Backend/Baza,Ne,F-039:F-061,,,,,,,,,,,,,,,,,
R-086,Robno knjigovodstvo,Dozvola negativnog lagera,Sistem može dozvoliti lager u minus uz upozorenje i pravila za nabavnu cijenu.,Visok,Zaključeno,Backend/Baza,Ne,F-039:F-061,,,,,,,,,,,,,,,,,
R-087,Robno knjigovodstvo,Prenos između magacina,Prenos smanjuje izvorni i povećava odredišni magacin.,Visok,Zaključeno,Backend/Baza,Ne,F-039:F-061,,,,,,,,,,,,,,,,,
R-088,Robno knjigovodstvo,Prenos kreira nalog,Prenos robe pravi nalog za knjiženje.,Visok,Zaključeno,Backend/Baza,Ne,F-039:F-061,,,,,,,,,,,,,,,,,
R-089,Robno knjigovodstvo,Popis višak/manjak,Popis može napraviti višak ili manjak robe.,Visok,Zaključeno,Backend/Baza,Ne,F-039:F-061,,,,,,,,,,,,,,,,,
R-090,Robno knjigovodstvo,Višak povećava lager,Višak iz popisa povećava lager.,Visok,Zaključeno,Backend/Baza,Ne,F-039:F-061,,,,,,,,,,,,,,,,,
R-091,Robno knjigovodstvo,Manjak smanjuje lager,Manjak iz popisa smanjuje lager.,Visok,Zaključeno,Backend/Baza,Ne,F-039:F-061,,,,,,,,,,,,,,,,,
R-092,Robno knjigovodstvo,Otpis smanjuje lager,Otpis robe smanjuje lager.,Visok,Zaključeno,Backend/Baza,Ne,F-039:F-061,,,,,,,,,,,,,,,,,
R-093,Robno knjigovodstvo,Korekcije kreiraju naloge,"Popis, manjak, višak i otpis prave naloge za knjiženje.",Visok,Zaključeno,Backend/UI,Ne,F-039:F-061,,,,,,,,,,,,,,,,,
R-094,Robno knjigovodstvo,Nivelacija cijena,Nivelacija mijenja maloprodajne cijene robe.,Visok,Zaključeno,Backend/Baza,Ne,F-039:F-061,,,,,,,,,,,,,,,,,
R-095,Robno knjigovodstvo,Nivelacija bez količine,Nivelacija ne mijenja količinu robe.,Visok,Zaključeno,Backend/UI,Ne,F-039:F-061,,,,,,,,,,,,,,,,,
R-096,Robno knjigovodstvo,Nivelacija RUC i PDV,Nivelacija računa promjenu razlike u cijeni i ukalkulisanog PDV-a.,Visok,Zaključeno,Backend/UI,Ne,F-039:F-061,,,,,,,,,,,,,,,,,
R-097,Robno knjigovodstvo,Nivelacija kreira nalog,Nivelacija pravi nalog za knjiženje.,Visok,Zaključeno,Backend/Baza,Ne,F-039:F-061,,,,,,,,,,,,,,,,,
R-098,Robno knjigovodstvo,Samo POSTED utiče na lager,Samo proknjiženi robni dokumenti utiču na stanje zaliha.,Vrlo visok,Zaključeno,Backend/Baza,Ne,F-039:F-061,,,,,,,,,,,,,,,,,
R-099,Robno knjigovodstvo,Nacrt ne utiče na lager,Robni dokument u nacrtu ne mijenja lager.,Vrlo visok,Zaključeno,Backend/Baza,Ne,F-039:F-061,,,,,,,,,,,,,,,,,
R-100,Robno knjigovodstvo,Soft delete,Brisanje robnih dokumenata je soft delete.,Vrlo visok,Zaključeno,Backend/Baza,Ne,F-039:F-061,,,,,,,,,,,,,,,,,
R-101,Robno knjigovodstvo,Audit log,Sve bitne izmjene u robnom modulu idu u audit log.,Vrlo visok,Zaključeno,Backend/Baza,Ne,F-039:F-061,,,,,,,,,,,,,,,,,
R-102,Podešavanja / PDV,PDV stope nijesu hardkodirane,"KIF/KUF forme moraju čitati aktivne stope iz šifarnika, a ne iz koda.",Vrlo visok,Implementirano,Backend/UI/Baza,Djelimicno,F-062,Stari KIF/KUF zapisi treba da pamte procenat važeći u trenutku unosa.,,,,,,,,,,,,,,,,
R-103,Računi / KUF,KUF se vodi kroz mjesečne knjige,"KUF računi se ne unose direktno u opštu listu, nego u prethodno otvorenu KUF knjigu za izabrani mjesec poslovne godine. Broj knjige ide automatski redom.",Vrlo visok,Implementirano,Backend/UI/Baza,Djelimicno,F-063,Datum KUF-a se automatski postavlja na zadnji dan izabranog mjeseca; računi ostaju povezani sa KUF knjigom.,,,,,,,,,,,,,,,,
R-104,Izvodi,Bez knjiženja bez preview-a,Sistem ne smije automatski knjižiti izvod bez preview-a i potvrde korisnika.,Vrlo visok,Specifikacija spremna,Backend/UI,Ne,F-078,,,,,,,,,,,,,,,,,
R-105,Izvodi,Jedan izvod jedan nalog,Jedan bankovni izvod u pravilu kreira jedan nalog za knjiženje.,Vrlo visok,Specifikacija spremna,Backend/Baza,Ne,F-084,,,,,,,,,,,,,,,,,
R-106,Izvodi,Kontrola stanja izvoda,Izvod se ne može proknjižiti ako početno stanje + prilivi - odlivi nije jednako krajnjem stanju.,Vrlo visok,Specifikacija spremna,Backend,Ne,F-084,,,,,,,,,,,,,,,,,
R-107,Izvodi,Prepoznavanje po žiro računu,Komitent se primarno prepoznaje po normalizovanom žiro računu a ne po nazivu iz banke.,Vrlo visok,Specifikacija spremna,Backend,Ne,F-079,,,,,,,,,,,,,,,,,
R-108,Izvodi,Učenje žiro računa,Korisnik može zapamtiti nepoznati žiro račun za komitenta; isti račun ne smije aktivno pripadati različitim komitentima bez upozorenja.,Visok,Specifikacija spremna,Backend/UI,Ne,F-079,,,,,,,,,,,,,,,,,
R-109,Izvodi,Alokacije na fakture,Stavka izvoda može zatvoriti više faktura i jedna faktura može biti zatvorena kroz više uplata.,Vrlo visok,Specifikacija spremna,Backend/Baza,Ne,F-080,,,,,,,,,,,,,,,,,
R-110,Izvodi,Sve stavke riješene prije knjiženja,Izvod se knjiži tek kada su sve stavke READY ili IGNORED.,Vrlo visok,Specifikacija spremna,Backend,Ne,F-084,,,,,,,,,,,,,,,,,
R-111,Izvodi,Pravila oprezna u MVP-u,Pravila knjiženja u MVP-u imaju auto_apply=false i requires_review=true.,Visok,Specifikacija spremna,Backend/UI,Ne,F-082,,,,,,,,,,,,,,,,,
R-112,Izvodi,Proknjižen izvod se ne mijenja direktno,Proknjižen izvod se prvo vraća u nacrt uz provjeru prava i zaključane godine.,Visok,Specifikacija spremna,Backend/UI,Ne,F-085,,,,,,,,,,,,,,,,,
R-113,Računi / KUF,Centna korekcija po računu,"Pri automatskom knjiženju KUF-a razlika od tačno 0.01 EUR koriguje se na trošku pojedinačnog računa; veća razlika blokira cijelu knjigu i mora jasno označiti sporni račun.",Vrlo visok,Implementirano,Backend/UI,Ne,F-068,,,,,,,,,,,,,,,,,
R-114,Računi / KIF,Bez preklapanja pazara,"Dnevni i mjesečni pazar iste kase ne smiju obuhvatiti isti datum; zapis bez oznake kase predstavlja sve kase.",Vrlo visok,Implementirano,Backend/Baza,Djelimično,F-095,"Provjera se ponavlja na serveru pri kreiranju i izmjeni.",,,,,,,,,,,,,,,,
R-115,Računi / KIF,Naplata pazara mora biti potpuna,"Zbir gotovine, kartica, virmana i ostalog mora biti tačno jednak ukupnom pazaru; korišćeni način naplate mora imati podešeno konto prije knjiženja.",Vrlo visok,Implementirano,Backend/UI/Baza,Djelimično,F-095,"Prihod i izlazni PDV koriste aktivnu KIF šemu.",,,,,,,,,,,,,,,,
R-116,Portal direktnog fiskalnog klijenta,Jedna firma i stroga tenant izolacija,"Direktni korisnik radi nad tačno jednom aktivnom firmom; svaki backend upit ponovo provjerava sistemski tenant, KorisnikFirma vezu, firma_id i pravo.",Vrlo visok,Specifikacija spremna,Backend,Ne,F-100,,,,,,,,,,,,,,,,,
R-117,Portal direktnog fiskalnog klijenta,Fiskalna administracija samo platformskom adminu,"Portal korisnik ne vidi niti mijenja sertifikate, ENU, fiskalne operatere, Test/Production aktivaciju, suspenziju ili API aplikacije.",Vrlo visok,Specifikacija spremna,Backend/UI,Ne,F-103,,,,,,,,,,,,,,,,,
R-118,Portal direktnog fiskalnog klijenta,FISCAL_ONLY ne kreira računovodstvo,"Uspješno fiskalizovan dokument direktne firme dobija kif_status NOT_REQUIRED i ne kreira KIF zapis ni nalog.",Vrlo visok,Specifikacija spremna,Backend/Baza,Ne,F-102,,,,,,,,,,,,,,,,,
R-119,Portal direktnog fiskalnog klijenta,Eksplicitna potvrda i idempotency,"Produkcijska faktura se šalje tek poslije pregleda i potvrde; paralelni klik, timeout ili retry ne smiju napraviti novi poslovni dokument ili duplu fiskalizaciju.",Vrlo visok,Specifikacija spremna,Backend/UI,Ne,F-102,,,,,,,,,,,,,,,,,
